,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
1,Houston,Big 12,2096.704,+2 🟢@@2.037841797,1885.185,2096.704,82.96874
2,Duke,ACC,2089.834,+2 🟢@@1.743164063,1836.592,2089.834,83.18549
3,Auburn,SEC,2083,-19 🟠@@-18.73999023,1904.704,2140.158,62.07375
4,Florida,SEC,2065.215,+6 🟢@@6.32421875,1828.45,2065.215,62.00392
5,Michigan St.,Big Ten,2044.909,+7 🟢@@6.544189453,1796.267,2044.909,81.22549
6,St. John's,Big East,2032.75,+4 🟢@@4.405761719,1836.558,2032.75,37.39539
7,Alabama,SEC,2010.559,+19 🟢@@18.73999023,1859.107,2058.671,98.97478
8,Tennessee,SEC,2005.028,+2 🟢@@2.067382813,1879.601,2015.5,83.86287
9,Texas Tech,Big 12,1991.732,+6 🟢@@5.860473633,1807.373,1991.732,72.13805
10,UConn,Big East,1968.178,+16 🟢@@16.25378418,1904.022,2048.046,52.97172
11,Maryland,Big Ten,1963.671,+7 🟢@@6.997680664,1724.445,1963.671,68.06933
12,Clemson,ACC,1957.481,+4 🟢@@4.233886719,1778.775,1957.481,67.50621
13,Gonzaga,WCC,1955.001,+20 🟢@@19.83154297,1791.552,1955.001,75.61743
14,Arizona,Big 12,1943.282,+24 🟢@@24.15332031,1740.06,1971.816,82.9862
15,Louisville,ACC,1940.807,+8 🟢@@7.53112793,1493.939,1940.807,66.75016
16,BYU,Big 12,1931.676,+16 🟢@@16.2701416,1748.109,1931.676,94.49958
17,Saint Mary's (CA),WCC,1924.968,-20 🟠@@-19.83154297,1720.207,1944.799,50.22145
18,Iowa St.,Big 12,1924.77,-16 🟠@@-16.2701416,1898.758,2066.533,69.7563
19,Wisconsin,Big Ten,1923.831,+13 🟢@@12.50561523,1803.135,2009.367,69.4957
20,Illinois,Big Ten,1923.761,+12 🟢@@11.88024902,1817.647,2005.784,63.90542
21,Purdue,Big Ten,1899.777,+5 🟢@@4.998535156,1885.226,1997.578,100.2512
22,Marquette,Big East,1898.822,+8 🟢@@8.424926758,1865.33,1983.049,65.91581
23,Texas A&M,SEC,1887.122,-26 🟠@@-25.85290527,1817.807,1945.556,63.32294
24,New Mexico,MWC,1884.743,+4 🟢@@3.947875977,1702.88,1897.741,88.42918
25,Kentucky,SEC,1876.136,+6 🟢@@5.866455078,1794.068,1876.136,88.54253
26,Oregon,Big Ten,1874.338,+28 🟢@@28.03369141,1745.057,1912.799,47.01081
27,Drake,MVC,1869.473,+15 🟢@@15.35827637,1697.522,1869.473,58.34732
28,Creighton,Big East,1864.867,+3 🟢@@3.458496094,1736.382,1898.295,71.85214
29,Colorado St.,MWC,1862.454,+8 🟢@@7.892822266,1652.424,1862.454,58.79622
30,VCU,A-10,1861.176,-25 🟠@@-24.79833984,1674.178,1885.974,69.27834
31,Memphis,AAC,1857.126,+2 🟢@@1.776855469,1688.304,1860.275,88.23491
32,Baylor,Big 12,1853.598,-6 🟠@@-5.860473633,1788.761,1887.531,42.56228
33,North Carolina,ACC,1853.015,+16 🟢@@16.19384766,1759.463,1888.273,64.14333
34,Missouri,SEC,1848.353,+27 🟢@@26.6697998,1554.549,1904.58,81.45174
35,UCLA,Big Ten,1846.369,+20 🟢@@20.01867676,1675.223,1846.369,83.91404
36,Ole Miss,SEC,1845.159,+10 🟢@@9.713989258,1671.511,1912.145,67.19852
37,Kansas,Big 12,1842.275,-24 🟠@@-24.15332031,1797.324,1966.778,89.65169
38,UC San Diego,Big West,1837.656,+5 🟢@@4.626708984,1478.262,1837.656,59.49989
39,Xavier,Big East,1831.925,-8 🟠@@-8.424926758,1668.683,1840.349,82.72548
40,Georgia,SEC,1822.571,-21 🟠@@-21.39196777,1704.724,1843.963,53.39672
41,Michigan,Big Ten,1817.233,-7 🟠@@-6.544189453,1608.844,1927.273,69.89369
42,Boise St.,MWC,1815.87,+28 🟢@@28.17248535,1710.126,1822.997,66.96241
43,San Diego St.,MWC,1808.269,-28 🟠@@-28.17248535,1758.704,1858.353,60.6437
44,Utah St.,MWC,1806.914,+22 🟢@@21.85388184,1772.75,1890.38,94.03466
45,Oklahoma,SEC,1802.365,-6 🟠@@-5.866455078,1743.481,1862.639,77.65989
46,Northwestern,Big Ten,1801.691,-13 🟠@@-12.50561523,1727.304,1848.697,22.83779
47,Mississippi St.,SEC,1798.516,-27 🟠@@-26.6697998,1791.445,1955.9,60.5084
48,Arkansas,SEC,1791.307,-10 🟠@@-9.713989258,1659.246,1801.021,83.0615
49,Villanova,Big East,1774.245,-16 🟠@@-16.25378418,1620.876,1798.457,57.36393
50,SMU,ACC,1768.353,-4 🟠@@-4.233886719,1647.943,1815.369,50.9665
51,Dayton,A-10,1764.57,+25 🟢@@24.79833984,1688.578,1851,87.24183
52,Penn St.,Big Ten,1764.549,+64 🟢@@63.56335449,1643.903,1834.5,57.8197
53,Liberty,CUSA,1762.888,+9 🟢@@8.958374023,1466.033,1762.888,51.80184
54,Texas,SEC,1762.345,+26 🟢@@25.85290527,1698.097,1866.179,64.28733
55,Indiana,Big Ten,1758.519,-28 🟠@@-28.03369141,1627,1786.552,87.41798
56,Ohio St.,Big Ten,1754.872,-22 🟠@@-21.8347168,1754.872,1864.181,62.66585
57,Wake Forest,ACC,1748.658,-16 🟠@@-16.19384766,1706.54,1838.45,67.28339
58,Yale,Ivy,1748.32,+10 🟢@@9.665405273,1596.229,1772.807,53.56891
59,Iowa,Big Ten,1743.583,-12 🟠@@-11.88024902,1681.144,1802.884,70.42371
60,UC Irvine,Big West,1737.452,+13 🟢@@12.87145996,1593.699,1777.685,51.92807
61,Santa Clara,WCC,1735.448,-25 🟠@@-24.67504883,1507.063,1792.234,26.76496
62,San Francisco,WCC,1734.539,-4 🟠@@-3.8515625,1629.109,1760.69,51.59324
63,North Texas,AAC,1731.934,-20 🟠@@-20.43347168,1654.607,1752.367,39.76271
64,George Mason,A-10,1727.024,+5 🟢@@4.597167969,1600.968,1782.135,59.54258
65,USC,Big Ten,1721.616,-5 🟠@@-4.998535156,1606.993,1790.482,28.23839
66,Cincinnati,Big 12,1717.738,-14 🟠@@-13.74926758,1678.394,1844.238,73.84622
67,High Point,Big South,1717.533,+15 🟢@@15.26867676,1515.068,1717.533,65.27113
68,West Virginia,Big 12,1705.962,-25 🟠@@-25.49414063,1618.941,1757.902,84.69876
69,Vanderbilt,SEC,1704.572,-25 🟠@@-24.53735352,1569.711,1791.187,66.00742
70,Kansas St.,Big 12,1703.952,-20 🟠@@-19.56103516,1597.808,1804.34,75.38429
71,Grand Canyon,WAC,1697.587,+12 🟢@@11.5390625,1607.213,1707.599,63.0009
72,Nebraska,Big Ten,1696.662,-52 🟠@@-52.48510742,1696.662,1878.644,65.81779
73,Saint Joseph's,A-10,1689.032,+4 🟢@@4.151855469,1559.256,1727.771,52.40073
74,Rutgers,Big Ten,1683.038,-22 🟠@@-21.82275391,1646.522,1725.146,45.31403
75,McNeese,Southland,1682.994,+7 🟢@@6.855712891,1503.228,1682.994,62.7044
76,Bradley,MVC,1677.829,-15 🟠@@-15.35827637,1622.814,1769.593,88.18362
77,Chattanooga,Southern,1676.614,-16 🟠@@-15.85766602,1452.512,1692.471,62.83357
78,Utah Valley,WAC,1673.733,+4 🟢@@4.228027344,1458.509,1673.733,65.21606
79,Loyola (IL),A-10,1672.583,+36 🟢@@36.24938965,1559.476,1714.308,52.43487
80,South Carolina,SEC,1670.747,-8 🟠@@-8.367553711,1642.17,1794.263,45.80949
81,UCF,Big 12,1665.024,-4 🟠@@-4.174804688,1612.964,1794.711,32.66715
82,UNLV,MWC,1663.496,-22 🟠@@-21.85388184,1623.202,1703.857,62.23263
83,Butler,Big East,1660.302,-4 🟠@@-4.405761719,1614.168,1774.686,64.35345
84,Saint Louis,A-10,1660.213,+13 🟢@@12.62963867,1461.759,1660.213,60.83948
85,Stanford,ACC,1654.891,-8 🟠@@-7.53112793,1588.229,1682.056,55.9686
86,UNC Wilmington,CAA,1653.697,+7 🟢@@6.534301758,1454.54,1653.697,53.62724
87,Troy,Sun Belt,1651.784,+30 🟢@@30.39916992,1519.415,1651.784,49.53659
88,Colorado,Big 12,1645.406,-2 🟠@@-2.037963867,1568.739,1830.501,75.08148
89,Arkansas St.,Sun Belt,1644.849,-30 🟠@@-30.39916992,1547.695,1707.44,57.3042
90,Lipscomb,A-Sun,1640.505,+14 🟢@@13.97106934,1442.262,1640.505,55.98647
91,St. Bonaventure,A-10,1638.986,+13 🟢@@13.05383301,1576.157,1729.535,52.9128
92,Minnesota,Big Ten,1638.317,-9 🟠@@-8.856445313,1584.737,1706.371,48.43052
93,Pittsburgh,ACC,1638.149,-11 🟠@@-11.44958496,1634.39,1845.475,37.35072
94,Georgia Tech,ACC,1637.389,-2 🟠@@-1.743041992,1504.943,1639.132,48.87413
95,Nevada,MWC,1635.498,-8 🟠@@-7.892822266,1635.498,1825.748,67.90014
96,Akron,MAC,1635.343,+10 🟢@@9.740234375,1466.398,1640.741,84.71916
97,Northern Iowa,MVC,1634.001,-15 🟠@@-15.37792969,1486.473,1668.64,65.52621
98,Arizona St.,Big 12,1632.663,-9 🟠@@-9.189941406,1632.663,1767.967,45.58966
99,Utah,Big 12,1631.389,-34 🟠@@-33.52966309,1608.622,1742.015,97.32369
100,TCU,Big 12,1629.745,-11 🟠@@-11.40332031,1625.259,1794.092,49.61278
101,Florida Atlantic,AAC,1625.653,+5 🟢@@4.647216797,1595.911,1805.774,44.24875
102,Cal State Northridge,Big West,1623.949,-26 🟠@@-25.87097168,1400.612,1684.943,38.07111
103,Georgetown,Big East,1616.734,-19 🟠@@-19.27062988,1513.328,1704.969,38.47052
104,Northern Colorado,Big Sky,1614.872,-24 🟠@@-24.41760254,1432.039,1639.29,44.4504
105,Belmont,MVC,1613.782,-6 🟠@@-6.302124023,1538.862,1647.757,69.7286
106,Tulane,AAC,1613.156,+25 🟢@@25.35510254,1398.426,1613.156,35.96103
107,Robert Morris,Horizon,1611.797,+19 🟢@@18.86364746,1298.874,1611.797,36.74799
108,Virginia,ACC,1611.428,-17 🟠@@-16.88110352,1522.899,1710.951,60.97519
109,Oklahoma St.,Big 12,1610.645,-29 🟠@@-29.25939941,1605.547,1728.717,71.99697
110,Florida St.,ACC,1609.218,-15 🟠@@-15.25671387,1603.867,1767.453,59.7342
111,George Washington,A-10,1606.811,+6 🟢@@6.032470703,1468.608,1615.462,68.88797
112,Wofford,Southern,1603.473,+20 🟢@@19.66418457,1421.057,1603.473,61.79699
113,LSU,SEC,1600.818,-20 🟠@@-19.68469238,1600.818,1787.718,45.09111
114,Bryant,ASEC,1597.305,+7 🟢@@6.588867188,1443.172,1597.305,54.94127
115,College of Charleston,CAA,1596.229,-7 🟠@@-7.004638672,1528.099,1685.733,62.7378
116,Oregon St.,WCC,1595.917,-26 🟠@@-26.35131836,1532.138,1694.263,36.06847
117,Middle Tennessee,CUSA,1591.619,+9 🟢@@8.727783203,1412.518,1601.227,65.18893
118,Syracuse,ACC,1590.628,-21 🟠@@-21.12268066,1559.316,1702.888,46.87126
119,UAB,AAC,1589.128,-25 🟠@@-25.35510254,1496.499,1651.524,72.80377
120,Furman,Southern,1586.218,-20 🟠@@-19.66418457,1486.172,1657.337,53.18262
121,Montana,Big Sky,1583.394,+24 🟢@@24.41760254,1419.315,1583.394,83.59156
122,Washington St.,WCC,1581.64,-13 🟠@@-12.91772461,1571.175,1784.191,31.59862
123,Jacksonville St.,CUSA,1581.007,+7 🟢@@6.789794922,1412.601,1631.067,40.64745
124,Cornell,Ivy,1580.981,+6 🟢@@5.919921875,1503.125,1636.35,41.27442
125,NC State,ACC,1580.048,-15 🟠@@-14.54296875,1577.158,1848.666,50.11887
126,New Mexico St.,CUSA,1579.989,-11 🟠@@-11.23974609,1348.955,1615.442,72.21841
127,North Alabama,A-Sun,1579.068,-14 🟠@@-13.97106934,1362.721,1593.039,61.80526
128,Omaha,Summit,1579.042,+24 🟢@@24.2689209,1245.491,1579.042,53.21912
129,Towson,CAA,1578.122,-41 🟠@@-41.25708008,1362.801,1619.379,53.89854
130,Providence,Big East,1576.515,-15 🟠@@-14.55834961,1576.515,1763.207,54.3555
131,Duquesne,A-10,1573.892,-13 🟠@@-13.05383301,1433.536,1685.212,48.48339
132,Kennesaw St.,CUSA,1568.456,+11 🟢@@11.23974609,1386.384,1587.679,53.02411
133,DePaul,Big East,1565.373,-3 🟠@@-3.458496094,1494.061,1632.594,25.97529
134,Winthrop,Big South,1564.24,-15 🟠@@-15.26867676,1371.271,1579.508,59.27552
135,Notre Dame,ACC,1563.883,-10 🟠@@-9.506591797,1538.387,1704.204,71.41402
136,Louisiana Tech,CUSA,1562.476,-9 🟠@@-8.727783203,1513.312,1704.505,71.94243
137,California,ACC,1557.376,-11 🟠@@-10.59558105,1538.242,1647.168,31.32213
138,Samford,Southern,1555.872,-34 🟠@@-33.93945313,1555.872,1668.078,35.76991
139,Milwaukee,Horizon,1554.9,-37 🟠@@-37.14978027,1414.821,1608.216,38.95254
140,St. Thomas,Summit,1552.797,-24 🟠@@-24.2689209,1449.812,1615.994,60.86793
141,Washington,Big Ten,1552.07,-8 🟠@@-7.705688477,1552.07,1748.935,39.52645
142,Kent St.,MAC,1550.083,+5 🟢@@5.387817383,1446.785,1580.936,67.08553
143,Seattle,WAC,1546.893,+13 🟢@@12.9967041,1470.325,1601.863,55.71825
144,North Dakota St.,Summit,1546.545,-13 🟠@@-12.8470459,1327.537,1591.636,55.43451
145,East Tennessee St.,Southern,1542.374,-28 🟠@@-28.34057617,1440.507,1581.082,56.20354
146,Dartmouth,Ivy,1540.349,-25 🟠@@-25.49279785,1239.2,1565.842,31.75551
147,South Alabama,Sun Belt,1539.697,-8 🟠@@-8.078125,1408.195,1624.302,45.75819
148,UC Santa Barbara,Big West,1539.392,+26 🟢@@25.87097168,1427.399,1587.385,50.39534
149,UC Riverside,Big West,1536.548,-38 🟠@@-38.36706543,1413.412,1574.915,46.84504
150,Merrimack,MAAC,1536.41,+8 🟢@@8.307739258,1402.183,1554.566,54.55843
151,Murray St.,MVC,1530.009,-11 🟠@@-10.70996094,1460.459,1599.358,84.87478
152,Illinois St.,MVC,1525.538,-23 🟠@@-23.06408691,1463.036,1548.602,75.14503
153,UNC Greensboro,Southern,1524.516,-37 🟠@@-36.63024902,1482.92,1583.155,48.92817
154,East Carolina,AAC,1523.972,+14 🟢@@13.6529541,1425.563,1557.475,33.58445
155,Temple,AAC,1521.994,-20 🟠@@-19.8314209,1503.002,1644.788,52.01096
156,Maine,ASEC,1521.293,+47 🟢@@46.76745605,1409.705,1531.076,18.04317
157,James Madison,Sun Belt,1520.549,-25 🟠@@-25.04833984,1488.859,1666.237,44.83099
158,California Baptist,WAC,1519.97,+7 🟢@@6.817993164,1412.768,1524.882,54.48641
159,Cal Poly,Big West,1516.789,+38 🟢@@38.36706543,1227.663,1516.789,39.08593
160,Marshall,Sun Belt,1516.647,-6 🟠@@-6.190795898,1361.039,1522.838,85.61616
161,Radford,Big South,1516.427,-5 🟠@@-5.41796875,1382.667,1534.745,51.92765
162,Illinois-Chicago,MVC,1516.087,-58 🟠@@-58.41516113,1390.355,1685.01,44.93501
163,Wichita St.,AAC,1515.382,+13 🟢@@12.65283203,1434.371,1665.633,71.91673
164,San Jose St.,MWC,1513.831,-4 🟠@@-3.947875977,1359.686,1517.779,10.16195
165,Miami University (OH),MAC,1513.594,+10 🟢@@9.716186523,1369.766,1560.432,71.57693
166,Quinnipiac,MAAC,1513.199,+14 🟢@@13.85974121,1382.443,1567.664,49.41467
167,Davidson,A-10,1512.946,-13 🟠@@-12.62963867,1512.946,1606.401,60.37887
168,Youngstown St.,Horizon,1512.479,-19 🟠@@-18.86364746,1350.819,1561.387,37.70247
169,Cleveland St.,Horizon,1511.03,-10 🟠@@-10.10876465,1363.756,1601.324,48.13955
170,Central Connecticut,NSEC,1510.594,-28 🟠@@-27.92602539,1331.688,1538.52,34.82308
171,Drexel,CAA,1506.516,-11 🟠@@-10.70678711,1433.729,1543.51,59.34989
172,Norfolk St.,MEAC,1506.059,+2 🟢@@1.757324219,1388.582,1555.463,58.33447
173,Princeton,Ivy,1494.25,+16 🟢@@15.62109375,1478.628,1661.996,76.71123
174,Brown,Ivy,1493.097,-10 🟠@@-9.665405273,1430.159,1572.041,25.568
175,Virginia Tech,ACC,1492.683,-24 🟠@@-24.15283203,1480.181,1711.942,73.14613
176,Eastern Kentucky,A-Sun,1491.301,-18 🟠@@-17.64941406,1350.354,1541.35,64.46693
177,Oakland,Horizon,1491.123,-8 🟠@@-8.401489258,1435.876,1588.119,52.07877
178,Jacksonville,A-Sun,1491.118,-12 🟠@@-11.87207031,1360.237,1554.945,35.17689
179,Boston College,ACC,1487.379,-15 🟠@@-15.20861816,1456.884,1728.287,5.200866
180,Rhode Island,A-10,1482.302,-55 🟠@@-55.22033691,1478.938,1668.418,40.43333
181,Purdue Fort Wayne,Horizon,1478.947,-9 🟠@@-9.409790039,1472.402,1574.508,54.39408
182,Indiana St.,MVC,1475.511,-9 🟠@@-8.572387695,1445.072,1703.123,72.3265
183,Appalachian St.,Sun Belt,1473.281,-25 🟠@@-25.2208252,1455.331,1596.249,60.60313
184,Vermont,ASEC,1471.328,-47 🟠@@-46.76745605,1367.883,1652.442,47.70649
